SEXO,POSSUI_CARRO,POSSUI_IMOVEL,QTD_FILHOS,RENDA_ANUAL,TIPO_RENDA,ESCOLARIDADE,ESTADO_CIVIL,TIPO_MORADIA,DIAS_EMPREGADO,TAMANHO_FAMILIA,IDADE,ROTULO
M,Sim,Sim,0,427500.0,Trabalho,Graduação completa,Casado no civil,Apartamento alugado,4542,2.0,33.0,BOM
M,Sim,Sim,0,427500.0,Trabalho,Graduação completa,Casado no civil,Apartamento alugado,4542,2.0,33.0,BOM
M,Sim,Sim,0,112500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1134,2.0,59.0,BOM
F,Não,Sim,0,270000.0,Representate comercial,Licenciatura,Solteiro,Casa / Apartamento,3051,1.0,52.0,BOM
F,Não,Sim,0,270000.0,Representate comercial,Licenciatura,Solteiro,Casa / Apartamento,3051,1.0,52.0,BOM
F,Não,Sim,0,270000.0,Representate comercial,Licenciatura,Solteiro,Casa / Apartamento,3051,1.0,52.0,BOM
F,Não,Sim,0,270000.0,Representate comercial,Licenciatura,Solteiro,Casa / Apartamento,3051,1.0,52.0,BOM
F,Não,Sim,0,283500.0,Pensão/Aposentadoria,Graduação completa,Divorciado,Casa / Apartamento,-365243,1.0,62.0,BOM
F,Não,Sim,0,283500.0,Pensão/Aposentadoria,Graduação completa,Divorciado,Casa / Apartamento,-365243,1.0,62.0,BOM
F,Não,Sim,0,283500.0,Pensão/Aposentadoria,Graduação completa,Divorciado,Casa / Apartamento,-365243,1.0,62.0,BOM
M,Sim,Sim,0,270000.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,769,2.0,46.0,BOM
M,Sim,Sim,0,270000.0,Trabalho,Graduação completa,Casado,Casa / Apartamento,769,2.0,46.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
M,Sim,Sim,0,135000.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,1194,2.0,49.0,BOM
F,Sim,Não,0,130500.0,Trabalho,Graduação incompleta,Casado,Casa / Apartamento,1103,2.0,29.0,BOM
F,Sim,Não,0,130500.0,Trabalho,Graduação incompleta,Casado,Casa / Apartamento,1103,2.0,29.0,BOM
F,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1469,2.0,27.0,BOM
F,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1469,2.0,27.0,BOM
F,Não,Sim,0,157500.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1469,2.0,27.0,BOM
F,Não,Sim,1,112500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,1620,2.0,30.0,BOM
F,Não,Sim,1,112500.0,Trabalho,Licenciatura,Solteiro,Casa / Apartamento,1620,2.0,30.0,BOM
M,Sim,Sim,3,270000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1163,5.0,35.0,BOM
M,Sim,Sim,3,270000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,1163,5.0,35.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Não,Sim,1,405000.0,Representate comercial,Graduação completa,Casado,Casa / Apartamento,2016,3.0,32.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
M,Sim,Sim,0,112500.0,Representate comercial,Licenciatura,Casado,Casa / Apartamento,4450,2.0,56.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
F,Sim,Sim,2,135000.0,Trabalho,Licenciatura,Casado,Casa / Apartamento,3173,4.0,43.0,BOM
